CONSUMO,PRECIO,INGRESO
76.3,20.6,109837
48.4,25.2,70434
50.5,26.2,73502
63.2,20.4,90428
59.2,21.7,89843
57.1,21.9,87490
107.8,12.8,175279
94.7,14.3,156455
99.5,13.2,166673
110.4,10.8,182013
95.1,14.2,163098
106.9,14.9,186407
151.2,10.8,217789
127.6,9.1,185588
108.6,10.8,158171
82.7,20.4,118339
121,11.2,183612
160.1,10.8,245310
71,13,115544
118.4,10.8,195676
61.3,23.9,102596
100.8,23.6,166205
61.8,24.5,106028
35.9,30.1,62621
76.4,20.6,110032
94,10.8,136786
73.4,20.8,106808
76.4,20.4,109330
63.8,21.7,96798
57,11.9,87282
78.2,23.6,129142
48.2,33.9,80730
55.8,27.6,92066
94.2,24.5,161603
56.9,28.9,99203
54.9,28.9,94289
130,10.8,187174
76.6,20.8,111410
93.1,12.8,135525
108.6,10.8,155350
151.1,10,229307
118.5,10.8,181506
62.3,23.2,101387
95,13.6,156923
88.3,23.9,147797
103.9,23.6,171275
102.9,14.5,176475
98.5,15,171834
129.3,10.8,213681
112.1,10.8,187720
146.3,8.2,241176
87.6,24.5,150267
70,24.9,122174
176.2,7.3,302861
48.6,28,70044
36,30.1,52338
55.4,20.8,80613
43.9,29.4,62790
36.5,30.1,55315
28.6,33.1,43862
54.5,23.2,88660
36.8,30.1,60775
24.5,40.1,41067
77.6,23.6,127881
136,10.8,233272
69.3,24.9,120874
133.9,10.8,186797
236.6,5.2,351000
78.3,20.4,111904
264.2,4.5,373412
197.7,6.8,284752
115.3,10.8,167713
62.4,20.4,89323
155.7,8.1,236223
96,11.8,147043
70.2,22.2,108875
232.7,5.3,360529
101.9,13.2,165737
118.8,10.8,195962
74.1,24.5,127205
63.4,25.6,110591
106.8,10.2,183599
86.2,24.3,146731
56.6,25.5,100867
37.5,30.1,52351
92.4,11.2,137007
78.2,20.4,111696
76.8,20.2,108498
72,22.6,103740
75.1,20.8,109226
49.4,30.2,70642
60.2,21.7,91299
59.4,22.9,90961
67.2,22.2,104182
48.8,32.6,75634
41.1,33.5,66794
56.9,27.1,69979
60.4,17.5,73892
35.8,30.1,44408
78.5,14.1,99645
