idnoremp;Seccion18;Division;periodo;intio;pottcag;gppgpa;ocgtot;CONINTER;OTROSG;PEROCU;PEREMU;PMISION;SULPERM;SULSAL;SULTEMP;SULMISION;SULAPRENDIZ;PRESPERM;PRESTEMP;PRESMISION;PRESTA;REMU;PROBRU;VALAGRE;TOTG;idaio;imesetot;inoio;insertot;potpsfr;pompsfr;pohpsfr;potperm;pomperm;pohperm;pottcde;pomtcde;pohtcde;pottmoe;pomtmoe;pohtmoe;pomtcag;pohtcag;potpau;pompau;pohpau;pomtot;pohtot;pottot;pompsfr1;pohpsfr2;pompsfr3;pohpsfr4;pompsfr5;pohpsfr6;pomperm1;pohperm2;pomperm3;pohperm4;pomperm5;pohperm6;pomtcde1;pohtcde2;pomtcde3;pohtcde4;pomtcde5;pohtcde6;pomtcag1;pohtcag2;pomtcag3;pohtcag4;pomtcag5;pohtcag6;pomtdhc;pohtdhc;pomtmad;pohtmad;pompau1;pohpau2;pomtot1;pohtot2;pomtot3;pohtot4;pomtot5;pohtot6;ththca;thtmas;gppsi;gpper;gpppsp;gpppst;gsppt;gppcpo;gppano;gppavo;gpppta;gppgpn;gpptpot;ocgrps;gmesetot;gsptot;ocgrc;ocgid;occree;ocgoi;ocgpc;ocgog;ocgtg;ocgamc;ocgtgno;gouts;ocgsv;ocgee;ocgar;ocgca;ocgse;ocgsp;ocgco;ocgfa;ocgpp;ocgnr;ocggv;ocgct;ocggr;ocgup;ocgcl;ocgusi;ocgspe;ocgsgn;gppsied1;gppsied2;gppsied3;gppered1;gppered2;gppered3;gpppsp1;gpppsp2;gpppsp3;gpppsted1;gpppsted2;gpppsted3;gppcpoed1;gppcpoed2;gppcpoed3;gppanoed1;gppanoed2;gppanoed3;gppavoed1;gppavoed2;gppavoed3;gppdocen;gppgpaed1;gppmoni;gppgpned1;gppgpned2;gppgpned3;gpptpoted1;gpptpoted2;gpptpoted3;opcomex
10001;I1;55;2018;2661282;0;30600;1522029;1337412;89191;49;49;0;324000;611100;256500;0;30600;152750;120555;0;395339;1006439;2661282;1323870;1095630;1992;0;143020;2518262;0;0;0;19;11;8;26;18;8;0;0;0;0;0;4;3;1;32;17;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;324000;152750;0;0;94313;27721;0;0;89191;1095630;288584;0;33272;0;31578;0;22566;120215;0;0;0;0;0;0;39995;18317;18649;7872;80228;60127;31276;2819;188284;2460;33383;0;24095;4988;8258;405269;99794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
10002;I1;55;2018;4355860;0;19692;2410700;2355473;7845;83;82;0;1119813;1139505;0;0;19692;437772;0;0;620049;1759554;4355860;2000387;1767399;2005;0;2170100;2185760;1;0;1;80;40;40;0;0;0;0;0;0;0;0;2;1;1;41;42;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1119813;437772;0;0;141007;41270;0;0;7845;1767399;804000;0;44000;0;30000;0;10000;0;0;119000;0;0;0;116000;161000;0;54000;4700;172000;23000;43000;58000;177000;2000;172000;700;9000;1300;18000;340000;52000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
10003;I1;55;2018;14967912;115;37122;10343391;9759456;75258;93;93;0;1920909;1958031;0;0;37122;450734;0;0;836187;2794218;14967912;5208456;2869476;2016;0;8053631;6914281;0;0;0;89;50;39;0;0;0;0;0;0;90;25;4;2;2;142;66;208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1920909;450734;0;0;283438;102015;0;2204145;75258;2869476;2966533;0;74965;12845;178360;0;354817;5294;0;136348;0;0;0;0;282549;1130326;3193;89221;220579;56159;55362;30711;250014;3764;283287;189258;59376;10054;33182;1477962;235087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
10004;I1;55;2018;10666938;0;21944;5924967;5813284;0;43;43;0;545550;567494;0;0;21944;120021;0;0;277020;844514;10666938;4853654;844514;2009;0;2357688;8309250;0;0;0;41;18;23;0;0;0;0;0;0;0;0;2;0;2;18;25;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;545550;120021;0;0;117413;49100;0;0;0;854028;427287;0;78543;0;58072;0;0;0;0;3733345;0;0;0;23123;0;36453;9876;21321;113209;23127;0;54097;543956;34120;234197;13210;21845;0;78321;420865;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
10005;I2;56;2018;24247713;138;42248;21505783;20862660;319610;53;53;0;1399292;1441540;0;0;42248;539657;0;0;937669;2379209;24247713;3385053;2698819;1957;0;17468118;6779595;0;0;0;49;26;23;0;0;0;0;0;0;46;92;4;0;4;72;119;191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72149;1348788;518012;0;0;319863;121260;0;2568983;319610;2741930;2444808;0;556751;28570;128578;0;322516;37852;0;6196136;0;0;0;2223954;0;0;48421;6766;331330;167731;1760379;0;3205218;4702;0;0;40178;34676;73928;1224290;100016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
10006;I2;56;2018;77402966;6;138592;55762705;54737106;1559572;606;606;0;7995582;9103374;969200;0;138592;2073118;145350;0;3762182;12865556;77402966;22665860;14425128;1989;0;0;77402966;0;0;0;508;339;169;85;45;40;0;0;0;3;3;13;6;7;393;219;612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;121590;7910469;2036641;0;0;1173270;370444;0;90288;1559572;14425128;47418078;0;406716;0;585070;0;318409;53211;0;0;0;0;0;471226;1292819;162648;53364;310547;129020;171335;1426781;54714;1184996;244802;0;72772;66841;272336;267644;460974;248114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
10007;I2;56;2018;1435181;0;13345;605824;583247;31586;49;49;0;181123;577668;383200;0;13345;39921;78704;0;228162;805830;1435181;851934;837416;1996;0;0;1435181;0;0;0;5;5;0;42;20;22;0;0;0;0;0;2;2;0;27;22;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;181123;39921;0;0;86755;22782;0;0;31586;837416;199550;0;22750;16773;16950;0;2151;0;0;14805;0;0;0;71165;0;0;1332;2656;22153;6593;0;4360;3918;0;0;0;9490;20;0;104286;106872;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
10008;I2;56;2018;15019373;61;34192;11044042;10814104;140766;81;81;0;1392589;1426781;0;0;34192;339001;0;0;615249;2042030;15019373;4205269;2182796;1998;0;0;15019373;0;0;0;77;72;5;0;0;0;0;0;0;57;4;4;4;0;133;9;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1392589;339001;0;0;211245;65003;0;1284273;140766;2182796;6594399;0;86018;0;173003;0;28153;0;0;386693;0;0;0;74278;15216;791932;142073;35232;87875;19870;167132;271;237488;35952;95687;5580;53517;0;41784;555816;131800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
10009;I2;56;2018;291222;0;0;309824;253510;0;10;9;0;0;86491;86491;0;0;0;15311;0;54437;140928;291222;37712;140928;2003;0;0;291222;1;0;1;0;0;0;9;3;6;0;0;0;0;0;0;0;0;3;7;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;14567;5567;18992;0;0;140928;157670;0;15237;0;12870;0;42630;0;0;31834;0;0;0;0;0;0;496;0;2168;8176;1652;0;6596;0;0;0;0;0;0;25668;4827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
10011;I2;56;2018;2028950;20;19875;1445646;1420570;17045;15;15;0;204807;224682;0;0;19875;38689;0;0;84592;309274;2028950;608380;326319;1998;0;0;2028950;0;0;0;13;3;10;0;0;0;0;0;0;4;16;2;0;2;7;28;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;204807;38689;0;0;36481;9422;0;288044;17045;326319;412248;0;0;749;12539;0;5269;0;0;17597;0;0;0;0;0;548472;0;3528;15612;9300;0;19928;601;0;0;0;914;0;0;97738;13107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
